ID/Hash,Fecha Detección,Título,Empresa,Score %,Modalidad,Enlace Directo,Salario,Resumen de Afinidad,Estado,Notas Usuario
mock_ideal_001,2026-09-23 09:45,Directora Técnica de Consultoría e Interventoría Vial y SST,Vías Andinas Consultores & Asociados S.A.S.,100.0%,Remoto,https://co.computrabajo.com/ofertas-de-trabajo/mock-ideal-001,$ 12.000.000 - $ 15.000.000 COP,"[Afinidad: 100/100 - Alta Afinidad] Coincide plenamente con el perfil Ingeniera Civil Senior - Especialista en Vías & SST, integrando infraestructura vial y SG-SST (Sinergia dual). Modalidad: 100% Remoto en Colombia confirmado. Observación: Requiere tarjeta profesional COPNIA, Licencia en Seguridad y Salud en el Trabajo (SST) vigente, curso SG-SST (Res. 0312).",Nueva,
mock_ideal_002,2026-09-23 09:45,Consultor/a Senior de Infraestructura Vial y Seguridad Laboral - Teletrabajo,Infraservicios Colombia Tech,100.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/mock-ideal-002,$ 10.500.000 - $ 13.000.000 COP,"[Afinidad: 100/100 - Alta Afinidad] Coincide plenamente con el perfil Ingeniera Civil Senior - Especialista en Vías & SST, integrando infraestructura vial y SG-SST (Sinergia dual). Modalidad: 100% Remoto en Colombia confirmado. Observación: Requiere tarjeta profesional COPNIA, Licencia en Seguridad y Salud en el Trabajo (SST) vigente.",Nueva,
mock_ideal_003,2026-09-23 09:45,Coordinador Nacional de Seguridad y Salud en el Trabajo (SST) e Interventoría Vial,Consorcio Vías Concesionadas,100.0%,Remoto,https://co.linkedin.com/jobs/view/mock-ideal-003,$ 9.500.000 - $ 12.000.000 COP,"[Afinidad: 100/100 - Alta Afinidad] Coincide plenamente con el perfil Ingeniera Civil Senior - Especialista en Vías & SST, integrando infraestructura vial y SG-SST (Sinergia dual). Modalidad: 100% Remoto en Colombia confirmado. Observación: Requiere tarjeta profesional COPNIA, Licencia en Seguridad y Salud en el Trabajo (SST) vigente.",Nueva,
d3c1233836489c95,2026-09-22 05:09,"Ejecutivo, facility, director operación, construccion, infraestructura con licencia sst en yopal",MANPOWER,85.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-facility-director-operacion-construccion-infraestructura-con-licencia-sst-en-yopal-1886765439,,[Afinidad: 85/100 - Alta Afinidad] Alta coincidencia en gestión de Seguridad y Salud en el Trabajo (SST). Modalidad: 100% Remoto en Colombia confirmado. Observación: Requiere Licencia en Seguridad y Salud en el Trabajo (SST) vigente.,Nueva,
cfd7ea99c8576f7d,2026-09-22 05:09,Profesional sst (sg-sst y pesv) - bogotá y cota,AGENCIA DE EMPLEO CAFAM,75.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/profesional-sst-sgsst-y-pesv-bogota-y-cota-1886755656,,[Afinidad: 75/100 - Alta Afinidad] Alta coincidencia en gestión de Seguridad y Salud en el Trabajo (SST). Modalidad: 100% Remoto en Colombia confirmado.,Nueva,
477df9f583e4cb1d,2026-09-22 05:09,Especialista en seguridad vial con licencia en sst - bucaramanga,Confidencial,75.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/especialista-en-seguridad-vial-con-licencia-en-sst-bucaramanga-1886762630,,[Afinidad: 75/100 - Alta Afinidad] Afinidad moderada con componentes de vías e infraestructura y seguridad laboral. Modalidad: 100% Remoto en Colombia confirmado. Observación: Requiere Licencia en Seguridad y Salud en el Trabajo (SST) vigente.,Nueva,
4f3e1576cc3242f9,2026-09-22 05:09,Especialista en seguridad vial con licencia en sst - bucaramanga,Confidencial,75.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/especialista-en-seguridad-vial-con-licencia-en-sst-bucaramanga-1886697108,,[Afinidad: 75/100 - Alta Afinidad] Afinidad moderada con componentes de vías e infraestructura y seguridad laboral. Modalidad: 100% Remoto en Colombia confirmado. Observación: Requiere Licencia en Seguridad y Salud en el Trabajo (SST) vigente.,Nueva,
8c4c85415c7d1976,2026-09-22 03:17,Barranquilla- consultor de sistemas hseq y seguridad vial- independiente,Confidencial,70.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/barranquilla-consultor-de-sistemas-hseq-y-seguridad-vial-independiente-1886770176,,[Afinidad: 70/100 - Alta Afinidad] Afinidad moderada con componentes de vías e infraestructura y seguridad laboral. Modalidad: 100% Remoto en Colombia confirmado.,Nueva,
b9d6e99de3f7d95f,2026-09-22 05:09,Barranquilla- consultor de sistemas hseq y seguridad vial- independiente,Confidencial,70.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/barranquilla-consultor-de-sistemas-hseq-y-seguridad-vial-independiente-1886770176,,[Afinidad: 70/100 - Alta Afinidad] Afinidad moderada con componentes de vías e infraestructura y seguridad laboral. Modalidad: 100% Remoto en Colombia confirmado.,Nueva,
3224b988c2ce1680,2026-09-22 05:09,Barranquilla- consultor de sistemas de gestion sst y seguridad vial- independiente,Confidencial,70.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/barranquilla-consultor-de-sistemas-de-gestion-sst-y-seguridad-vial-independiente-1886768156,,[Afinidad: 70/100 - Alta Afinidad] Afinidad moderada con componentes de vías e infraestructura y seguridad laboral. Modalidad: 100% Remoto en Colombia confirmado.,Nueva,
