ID/Hash,Fecha Detección,Título,Empresa,Score %,Modalidad,Enlace Directo,Salario,Resumen de Afinidad,Estado,Notas Usuario
b6581d4aaaff95a4,2026-09-24 15:23,Desarrollador azure y soporte de aplicaciones,Confidencial,93.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-azure-y-soporte-de-aplicaciones-1886764548,,"[Afinidad: 93/100 - Alta Afinidad] Alta coincidencia técnica en Soporte Técnico de Sistemas, Hardware y Redes. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
0bcdf0f2f6f1b6cd,2026-09-24 15:23,Especialista soporte de aplicaciones,Confidencial,93.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/especialista-soporte-de-aplicaciones-1886761905,,"[Afinidad: 93/100 - Alta Afinidad] Alta coincidencia técnica en Soporte Técnico de Sistemas, Hardware y Redes. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
84d3343d319ef2ee,2026-09-24 15:23,Analista de soporte de aplicaciones,Confidencial,93.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/analista-de-soporte-de-aplicaciones-1886744833,,"[Afinidad: 93/100 - Alta Afinidad] Alta coincidencia técnica en Soporte Técnico de Sistemas, Hardware y Redes. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
fb4057b60ee24f96,2026-09-24 15:23,Soporte de Aplicaciones,Marsh,93.0%,Remoto,https://co.linkedin.com/jobs/view/soporte-de-aplicaciones-at-marsh-4462495318,,"[Afinidad: 93/100 - Alta Afinidad] Alta coincidencia técnica en Soporte Técnico de Sistemas, Hardware y Redes. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
36d9af4a629bea69,2026-09-24 15:23,Soporte de Aplicaciones,Marsh,93.0%,Remoto,https://co.linkedin.com/jobs/view/soporte-de-aplicaciones-at-marsh-4462705041,,"[Afinidad: 93/100 - Alta Afinidad] Alta coincidencia técnica en Soporte Técnico de Sistemas, Hardware y Redes. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
c56208dd47729452,2026-09-24 15:23,Soporte de Aplicaciones,Marsh Risk,93.0%,Remoto,https://co.linkedin.com/jobs/view/soporte-de-aplicaciones-at-marsh-risk-4462800719,,"[Afinidad: 93/100 - Alta Afinidad] Alta coincidencia técnica en Soporte Técnico de Sistemas, Hardware y Redes. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
d0e25c686dd08685,2026-09-24 15:23,Soporte de Aplicaciones,Marsh Risk,93.0%,Remoto,https://co.linkedin.com/jobs/view/soporte-de-aplicaciones-at-marsh-risk-4462796772,,"[Afinidad: 93/100 - Alta Afinidad] Alta coincidencia técnica en Soporte Técnico de Sistemas, Hardware y Redes. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
05c483685b3940dc,2026-09-24 15:23,Consultor de Soporte PL/SQL,GFT Technologies,93.0%,Remoto,https://co.linkedin.com/jobs/view/consultor-de-soporte-pl-sql-at-gft-technologies-4463498852,,"[Afinidad: 93/100 - Alta Afinidad] Alta coincidencia técnica en Soporte Técnico de Sistemas, Hardware y Redes. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
d710f9dad7e529d9,2026-09-24 15:23,Desarrollador python,Confidencial,88.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-python-1886761697,,"[Afinidad: 88/100 - Alta Afinidad] Alta coincidencia técnica en Soporte Técnico de Sistemas, Hardware y Redes. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
9b770387020698eb,2026-09-24 15:23,Desarrollador python para ifrs 17,MANPOWER,88.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-python-para-ifrs-17-1886745276,,"[Afinidad: 88/100 - Alta Afinidad] Alta coincidencia técnica en Soporte Técnico de Sistemas, Hardware y Redes. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
45320704a7ef8601,2026-09-24 15:23,Desarrollador .net / python,Cinte Colombia SAS,88.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-net-python-1886768004,,"[Afinidad: 88/100 - Alta Afinidad] Alta coincidencia técnica en Soporte Técnico de Sistemas, Hardware y Redes. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
