ID/Hash,Fecha Detección,Título,Empresa,Score %,Modalidad,Enlace Directo,Salario,Resumen de Afinidad,Estado,Notas Usuario
aa20834f94dfd155,2026-09-24 16:07,Auxiliar de facturacion o secretaria ips,Confidencial,93.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-facturacion-o-secretaria-ips-1886747401,,"[Afinidad: 93/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
e525f145f275012a,2026-09-24 16:07,Remote Office Assistant,Coalition Technologies,78.0%,Remoto,https://remotive.com/remote-jobs/marketing/remote-office-assistant-1680495,"$35,3k- $52k","[Afinidad: 78/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
5e69bdc3d8d68672,2026-09-24 16:07,Auxiliar de Facturación Teletrabajo,Importante empresa del sector,73.0%,Remoto,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-facturacion-teletrabajo-en-cali-436F39785C023D1261373E686DCF3405,Remoto,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
7cf82a12d60b65c7,2026-09-24 16:07,Auxiliar contable- conocimiento y dominio en erp siigo nube,Confidencial,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable-conocimiento-y-dominio-en-erp-siigo-nube-1886749387,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
80dcaff6c76c4739,2026-09-24 16:07,Auxiliar de facturación,Tower Consulting WorldWide SAS,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-facturacion-1886756116,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
2a5b492f2cf08a86,2026-09-24 16:07,Auxiliar de facturacion // yopal medio tiempo,Confidencial,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-facturacion-yopal-medio-tiempo-1886767206,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
4e81a6e21cf2499c,2026-09-24 16:07,Auxiliar contable - sap - facturacion electronica - bogota,ADECCO COLOMBIA S A,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable-sap-facturacion-electronica-bogota-1886767171,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
5b72a870b18cd8dd,2026-09-24 16:07,Auxiliar de facturación,Confidencial,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-facturacion-1886767351,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
aaf3a1241a43d56a,2026-09-24 16:07,Asistente de facturación y despachos - yumbo,DISAN COLOMBIA S.A.S,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/asistente-de-facturacion-y-despachos-yumbo-1886765290,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
4c6e2ae68998ff1f,2026-09-24 16:07,Auxiliar de facturación,Confidencial,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-facturacion-ibague-1886770122,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
dad6a39f05eb0872,2026-09-24 16:07,Auxiliar de facturación hospitalario,INSTITUTO ROOSEVELT,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-facturacion-hospitalario-1886760993,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
c80879dace821f2d,2026-09-24 16:07,Auxiliar de facturación - 1626343701-25,AGENCIA DE EMPLEO Y FOMENTO EMPRESARIAL COMPENSAR,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-facturacion-162634370125-1886768889,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
a581954268b43f5e,2026-09-24 16:07,Auxiliar de facturacion hospitalaria,Confidencial,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-facturacion-hospitalaria-1886760847,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
f19945acad64eb39,2026-09-24 16:07,Auxiliar de facturacion hospitalaria,CLINICA SHAIO,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-facturacion-hospitalaria-1886377445,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
c5b127601236be94,2026-09-24 16:07,Auxiliar de facturacion // sector salud laboratorio clinico /// villavicencio meta,Confidencial,73.0%,Remoto,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-facturacion-sector-salud-laboratorio-clinico-villavicencio-meta-1886746288,,"[Afinidad: 73/100 - Alta Afinidad] Alta coincidencia técnica en Herramientas Ofimáticas, Excel y Soporte Contable / Facturación. Modalidad: 100% Remoto en Colombia confirmado.",Nueva,
